111675359,TickSource,tick,FibStepper,step,1
125466005,TickSource,tick,FibStepper,step,2
125587004,TickSource,tick,FibStepper,step,3
125684798,TickSource,tick,FibStepper,step,4
125768932,TickSource,tick,FibStepper,step,5
125846396,TickSource,tick,FibStepper,step,6
125948987,TickSource,tick,FibStepper,step,7
126066646,TickSource,tick,FibStepper,step,8
126198846,TickSource,tick,FibStepper,step,9
126372983,TickSource,tick,FibStepper,step,10
126602609,TickSource,tick,FibStepper,step,11
126774178,TickSource,tick,FibStepper,step,12
127093839,TickSource,tick,FibStepper,step,13
127255286,TickSource,tick,FibStepper,step,14
127384691,TickSource,tick,FibStepper,step,15
127500780,TickSource,tick,FibStepper,step,16
127606473,TickSource,tick,FibStepper,step,17
127714046,TickSource,tick,FibStepper,step,18
127907367,TickSource,tick,FibStepper,step,19
128042167,TickSource,tick,FibStepper,step,20
128160764,TickSource,tick,FibStepper,step,21
128280382,TickSource,tick,FibStepper,step,22
128408530,TickSource,tick,FibStepper,step,23
128566757,TickSource,tick,FibStepper,step,24
128687151,TickSource,tick,FibStepper,step,25
128843842,TickSource,tick,FibStepper,step,26
129011864,TickSource,tick,FibStepper,step,27
129180283,TickSource,tick,FibStepper,step,28
129306563,TickSource,tick,FibStepper,step,29
126127700,FibStepper,fib,FibPrinter,inFib,1
129482339,TickSource,tick,FibStepper,step,30
129634093,FibStepper,fib,FibPrinter,inFib,2
129755919,FibStepper,fib,FibPrinter,inFib,3
129841229,FibStepper,fib,FibPrinter,inFib,5
129928237,FibStepper,fib,FibPrinter,inFib,8
130009410,FibStepper,fib,FibPrinter,inFib,13
130106301,FibStepper,fib,FibPrinter,inFib,21
130189550,FibStepper,fib,FibPrinter,inFib,34
130269876,FibStepper,fib,FibPrinter,inFib,55
130393708,FibStepper,fib,FibPrinter,inFib,89
130519930,FibStepper,fib,FibPrinter,inFib,144
130645851,FibStepper,fib,FibPrinter,inFib,233
130662373,TickSource,tick,FibStepper,step,31
130756996,FibStepper,fib,FibPrinter,inFib,377
130872532,TickSource,tick,FibStepper,step,32
130935953,FibStepper,fib,FibPrinter,inFib,610
131013521,TickSource,tick,FibStepper,step,33
131099627,FibStepper,fib,FibPrinter,inFib,987
131203816,FibStepper,fib,FibPrinter,inFib,1597
131292161,FibStepper,fib,FibPrinter,inFib,2584
131382698,FibStepper,fib,FibPrinter,inFib,4181
131469185,FibStepper,fib,FibPrinter,inFib,6765
131541816,FibStepper,fib,FibPrinter,inFib,10946
131625433,FibStepper,fib,FibPrinter,inFib,17711
131699221,FibStepper,fib,FibPrinter,inFib,28657
131774969,FibStepper,fib,FibPrinter,inFib,46368
131847686,FibStepper,fib,FibPrinter,inFib,75025
131930879,FibStepper,fib,FibPrinter,inFib,121393
132020431,FibStepper,fib,FibPrinter,inFib,196418
132092956,FibStepper,fib,FibPrinter,inFib,317811
132177424,FibStepper,fib,FibPrinter,inFib,514229
132254428,FibStepper,fib,FibPrinter,inFib,832040
132335846,FibStepper,fib,FibPrinter,inFib,1346269
132510721,TickSource,tick,FibStepper,step,34
132711540,TickSource,tick,FibStepper,step,35
132789170,TickSource,tick,FibStepper,step,36
132865066,TickSource,tick,FibStepper,step,37
132938748,TickSource,tick,FibStepper,step,38
133012533,TickSource,tick,FibStepper,step,39
133087399,TickSource,tick,FibStepper,step,40
133167077,TickSource,tick,FibStepper,step,41
133244493,TickSource,tick,FibStepper,step,42
133316096,TickSource,tick,FibStepper,step,43
133401374,TickSource,tick,FibStepper,step,44
133473146,TickSource,tick,FibStepper,step,45
136414079,FibStepper,fib,FibPrinter,inFib,2178309
136591033,FibStepper,fib,FibPrinter,inFib,3524578
136714539,FibStepper,fib,FibPrinter,inFib,5702887
136814873,FibStepper,fib,FibPrinter,inFib,9227465
136893791,FibStepper,fib,FibPrinter,inFib,14930352
136991431,FibStepper,fib,FibPrinter,inFib,24157817
137063165,FibStepper,fib,FibPrinter,inFib,39088169
137150140,FibStepper,fib,FibPrinter,inFib,63245986
137229822,FibStepper,fib,FibPrinter,inFib,102334155
137316690,FibStepper,fib,FibPrinter,inFib,165580141
137409660,FibStepper,fib,FibPrinter,inFib,267914296
137482395,FibStepper,fib,FibPrinter,inFib,433494437
137553262,FibStepper,fib,FibPrinter,inFib,701408733
137625840,FibStepper,fib,FibPrinter,inFib,1134903170
140194027,FibStepper,fib,FibPrinter,inFib,1836311903
